Alert ID,Ticker,Name,Description,Time,Webhook status
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.152860615,""sl"":1.1553542,""rr"":""1.16:1""}}",2026-03-17T21:55:01Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.155461311,""sl"":1.15223661,""rr"":""1.8:1""}}",2026-03-17T20:55:00Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.335450029,""sl"":1.33775642,""rr"":""0.73:1""}}",2026-03-17T20:16:30Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.338615031,""sl"":1.33415451,""rr"":""2.34:1""}}",2026-03-17T19:56:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.0260118078,""sl"":158.733108,""rr"":""0.84:1""}}",2026-03-17T19:16:02Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":158.7751534173,""sl"":159.171012,""rr"":""1.49:1""}}",2026-03-17T18:26:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.2723897279,""sl"":158.719122,""rr"":""2.48:1""}}",2026-03-17T17:31:01Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.3250721787,""sl"":211.812975,""rr"":""1.42:1""}}",2026-03-17T17:30:01Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":158.6821061048,""sl"":159.274115,""rr"":""2.72:1""}}",2026-03-17T17:01:01Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.1516009678,""sl"":1.15503388,""rr"":""1.98:1""}}",2026-03-17T16:00:00Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.3336803855,""sl"":1.33707574,""rr"":""1.54:1""}}",2026-03-17T15:41:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.1560055398,""sl"":1.15093791,""rr"":""3.4:1""}}",2026-03-17T15:25:00Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.3387599936,""sl"":1.33259607,""rr"":""3.62:1""}}",2026-03-17T15:21:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.3252435808,""sl"":211.762026,""rr"":""1.66:1""}}",2026-03-17T14:40:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":158.901101697,""sl"":159.313154,""rr"":""1.59:1""}}",2026-03-17T13:01:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.2883680891,""sl"":211.615173,""rr"":""2.18:1""}}",2026-03-17T12:55:00Z,Webhook delivery failed — 404 Not Found
