UTC,Open,High,Low,Close,Volume
30.03.2026 00:00:00.000 UTC,184.13,184.144,184.043,184.066,1802.1000000000001
30.03.2026 00:05:00.000 UTC,184.066,184.09,183.996,184.005,1652.6999999999998
30.03.2026 00:10:00.000 UTC,184.005,184.071,184,184.015,1137.8999999999999
30.03.2026 00:15:00.000 UTC,184.015,184.087,183.978,184.05,2100.75
30.03.2026 00:20:00.000 UTC,184.053,184.14,184.053,184.134,2778.7200000000003
30.03.2026 00:25:00.000 UTC,184.134,184.151,184.097,184.137,2331.7499999999995
30.03.2026 00:30:00.000 UTC,184.138,184.151,184.099,184.131,1293
30.03.2026 00:35:00.000 UTC,184.131,184.139,184.084,184.086,1097.25
30.03.2026 00:40:00.000 UTC,184.084,184.089,184.012,184.028,1047.15
30.03.2026 00:45:00.000 UTC,184.028,184.06,183.997,184.02,921
30.03.2026 00:50:00.000 UTC,184.02,184.081,184.02,184.051,1278.75
30.03.2026 00:55:00.000 UTC,184.051,184.076,183.965,183.967,1265.3999999999999
30.03.2026 01:00:00.000 UTC,183.969,184.051,183.969,183.984,1253.3999999999999
30.03.2026 01:05:00.000 UTC,183.99,184.005,183.952,184.004,803.7
30.03.2026 01:10:00.000 UTC,184.005,184.025,183.976,184.017,999.45
30.03.2026 01:15:00.000 UTC,184.018,184.021,183.978,183.999,1087.8
30.03.2026 01:20:00.000 UTC,183.999,184.025,183.989,184,833.85
30.03.2026 01:25:00.000 UTC,183.999,184.044,183.994,184.013,1038.75
30.03.2026 01:30:00.000 UTC,184.015,184.051,184.003,184.048,973.5899999999999
30.03.2026 01:35:00.000 UTC,184.048,184.073,184.038,184.049,810.45
30.03.2026 01:40:00.000 UTC,184.053,184.067,184.038,184.063,770.7
30.03.2026 01:45:00.000 UTC,184.07,184.07,183.993,184.018,579
30.03.2026 01:50:00.000 UTC,184.018,184.033,183.999,184.004,657
30.03.2026 01:55:00.000 UTC,184.005,184.02,183.988,183.997,673.95
30.03.2026 02:00:00.000 UTC,183.997,184.036,183.994,183.998,630.45
30.03.2026 02:05:00.000 UTC,183.999,184.036,183.988,184.022,695.1
30.03.2026 02:10:00.000 UTC,184.023,184.056,184.005,184.021,801.9000000000001
30.03.2026 02:15:00.000 UTC,184.021,184.021,183.959,183.967,764.4000000000001
30.03.2026 02:20:00.000 UTC,183.968,183.984,183.938,183.95,801.1200000000001
30.03.2026 02:25:00.000 UTC,183.95,183.962,183.891,183.915,957.45
30.03.2026 02:30:00.000 UTC,183.915,183.94,183.888,183.903,1242.6
30.03.2026 02:35:00.000 UTC,183.902,183.93,183.898,183.914,628.9499999999999
30.03.2026 02:40:00.000 UTC,183.913,183.978,183.895,183.959,808.2000000000002
30.03.2026 02:45:00.000 UTC,183.959,184.014,183.95,184.009,627.45
30.03.2026 02:50:00.000 UTC,184.009,184.012,183.968,183.98,598.0500000000001
30.03.2026 02:55:00.000 UTC,183.983,184.003,183.972,184,560.0999999999999
30.03.2026 03:00:00.000 UTC,184,184,183.924,183.938,914.55
30.03.2026 03:05:00.000 UTC,183.939,183.99,183.933,183.98,700.9499999999999
30.03.2026 03:10:00.000 UTC,183.981,183.996,183.946,183.965,548.7
30.03.2026 03:15:00.000 UTC,183.964,184.005,183.934,183.992,512.85
30.03.2026 03:20:00.000 UTC,183.992,184.012,183.983,184.009,426.15
30.03.2026 03:25:00.000 UTC,184.01,184.034,184.005,184.012,419.55
30.03.2026 03:30:00.000 UTC,184.012,184.031,183.979,184.02,492.75
30.03.2026 03:35:00.000 UTC,184.02,184.028,183.985,184.005,429.9000000000001
30.03.2026 03:40:00.000 UTC,184.005,184.015,183.969,183.987,410.4
30.03.2026 03:45:00.000 UTC,183.987,184.009,183.971,184.004,705.6
30.03.2026 03:50:00.000 UTC,184.003,184.022,183.988,183.997,569.7
30.03.2026 03:55:00.000 UTC,183.996,184.012,183.972,184.005,521.25
30.03.2026 04:00:00.000 UTC,184.004,184.004,183.89,183.914,696
30.03.2026 04:05:00.000 UTC,183.912,183.957,183.896,183.957,696.45
30.03.2026 04:10:00.000 UTC,183.959,183.969,183.945,183.953,462
30.03.2026 04:15:00.000 UTC,183.952,183.952,183.919,183.945,471
30.03.2026 04:20:00.000 UTC,183.947,183.966,183.922,183.922,489.9
30.03.2026 04:25:00.000 UTC,183.922,183.975,183.919,183.971,506.85
30.03.2026 04:30:00.000 UTC,183.972,183.994,183.963,183.975,524.6999999999999
30.03.2026 04:35:00.000 UTC,183.975,184.022,183.975,184.019,511.20000000000005
30.03.2026 04:40:00.000 UTC,184.019,184.019,183.991,184.012,313.5
30.03.2026 04:45:00.000 UTC,184.013,184.013,183.973,183.973,418.34999999999997
30.03.2026 04:50:00.000 UTC,183.972,183.977,183.942,183.977,504.15
30.03.2026 04:55:00.000 UTC,183.976,183.99,183.944,183.978,660.39
30.03.2026 05:00:00.000 UTC,183.978,183.991,183.951,183.967,801.3
30.03.2026 05:05:00.000 UTC,183.971,183.977,183.935,183.949,585.69
30.03.2026 05:10:00.000 UTC,183.948,183.949,183.898,183.923,780.15
30.03.2026 05:15:00.000 UTC,183.921,183.931,183.893,183.908,667.8
30.03.2026 05:20:00.000 UTC,183.908,183.914,183.895,183.906,489.6
30.03.2026 05:25:00.000 UTC,183.905,183.952,183.905,183.924,772.95
30.03.2026 05:30:00.000 UTC,183.926,183.934,183.841,183.841,633.15
30.03.2026 05:35:00.000 UTC,183.842,183.894,183.822,183.887,1077.6000000000001
30.03.2026 05:40:00.000 UTC,183.887,183.909,183.88,183.897,552.15
30.03.2026 05:45:00.000 UTC,183.898,183.907,183.878,183.881,604.95
30.03.2026 05:50:00.000 UTC,183.88,183.911,183.864,183.91,741.45
30.03.2026 05:55:00.000 UTC,183.908,183.942,183.905,183.94,729.45
30.03.2026 06:00:00.000 UTC,183.939,183.951,183.86,183.874,926.4300000000001
30.03.2026 06:05:00.000 UTC,183.873,183.895,183.842,183.87,708.45
30.03.2026 06:10:00.000 UTC,183.87,183.896,183.865,183.87,690.3
30.03.2026 06:15:00.000 UTC,183.871,183.876,183.809,183.834,642.3
30.03.2026 06:20:00.000 UTC,183.834,183.866,183.815,183.855,801
30.03.2026 06:25:00.000 UTC,183.855,183.961,183.855,183.94,1070.42
30.03.2026 06:30:00.000 UTC,183.94,183.954,183.86,183.876,806.6999999999999
30.03.2026 06:35:00.000 UTC,183.873,183.995,183.869,183.971,1129.8
30.03.2026 06:40:00.000 UTC,183.971,184.004,183.933,183.999,784.8
30.03.2026 06:45:00.000 UTC,183.999,184.016,183.959,183.986,1078.23
30.03.2026 06:50:00.000 UTC,183.986,183.99,183.946,183.962,945.87
30.03.2026 06:55:00.000 UTC,183.963,184.006,183.957,183.975,672.9000000000001
30.03.2026 07:00:00.000 UTC,183.976,183.976,183.907,183.913,1106.28
30.03.2026 07:05:00.000 UTC,183.913,183.913,183.819,183.896,1134.48
30.03.2026 07:10:00.000 UTC,183.898,183.898,183.764,183.77,1022.52
30.03.2026 07:15:00.000 UTC,183.771,183.794,183.681,183.688,107
30.03.2026 07:20:00.000 UTC,183.689,183.695,183.566,183.569,1300.91
30.03.2026 07:25:00.000 UTC,183.568,183.622,183.556,183.607,1241.88
30.03.2026 07:30:00.000 UTC,183.608,183.627,183.592,183.603,1093.26
30.03.2026 07:35:00.000 UTC,183.602,183.615,183.56,183.586,880.8
30.03.2026 07:40:00.000 UTC,183.586,183.63,183.566,183.602,1003.92
30.03.2026 07:45:00.000 UTC,183.603,183.611,183.535,183.548,870.03
30.03.2026 07:50:00.000 UTC,183.547,183.617,183.544,183.612,856.2299999999999
30.03.2026 07:55:00.000 UTC,183.613,183.706,183.601,183.704,1007.97
30.03.2026 08:00:00.000 UTC,183.701,183.721,183.62,183.668,1443.99
30.03.2026 08:05:00.000 UTC,183.669,183.69,183.623,183.631,1052.7
30.03.2026 08:10:00.000 UTC,183.63,183.664,183.616,183.653,998.8800000000001
30.03.2026 08:15:00.000 UTC,183.652,183.657,183.596,183.641,862.47
30.03.2026 08:20:00.000 UTC,183.638,183.647,183.571,183.582,1127.7
30.03.2026 08:25:00.000 UTC,183.581,183.651,183.567,183.651,739.2
30.03.2026 08:30:00.000 UTC,183.646,183.697,183.623,183.63,943.3199999999999
30.03.2026 08:35:00.000 UTC,183.632,183.649,183.594,183.601,898.35
30.03.2026 08:40:00.000 UTC,183.604,183.606,183.546,183.546,1081.56
30.03.2026 08:45:00.000 UTC,183.546,183.549,183.486,183.491,961.9499999999999
30.03.2026 08:50:00.000 UTC,183.491,183.588,183.469,183.574,1340.8799999999999
30.03.2026 08:55:00.000 UTC,183.574,183.606,183.554,183.574,770.43
30.03.2026 09:00:00.000 UTC,183.575,183.602,183.493,183.518,1041.1200000000001
30.03.2026 09:05:00.000 UTC,183.518,183.553,183.465,183.47,1026.48
30.03.2026 09:10:00.000 UTC,183.469,183.513,183.457,183.468,834.27
30.03.2026 09:15:00.000 UTC,183.467,183.474,183.403,183.445,1245.06
30.03.2026 09:20:00.000 UTC,183.445,183.474,183.409,183.466,1206.18
30.03.2026 09:25:00.000 UTC,183.467,183.481,183.444,183.446,867.0600000000001
30.03.2026 09:30:00.000 UTC,183.444,183.449,183.345,183.348,1235.1999999999998
30.03.2026 09:35:00.000 UTC,183.348,183.41,183.338,183.41,1006.98
30.03.2026 09:40:00.000 UTC,183.412,183.488,183.41,183.474,892.86
30.03.2026 09:45:00.000 UTC,183.474,183.48,183.449,183.462,909.0899999999999
30.03.2026 09:50:00.000 UTC,183.461,183.486,183.422,183.446,747.1199999999999
30.03.2026 09:55:00.000 UTC,183.446,183.499,183.438,183.447,777.5699999999999
30.03.2026 10:00:00.000 UTC,183.447,183.447,183.384,183.384,697.9200000000001
30.03.2026 10:05:00.000 UTC,183.384,183.428,183.347,183.414,701.7
30.03.2026 10:10:00.000 UTC,183.413,183.42,183.38,183.39,592.26
30.03.2026 10:15:00.000 UTC,183.388,183.394,183.343,183.392,746.25
30.03.2026 10:20:00.000 UTC,183.392,183.403,183.351,183.386,689.91
30.03.2026 10:25:00.000 UTC,183.385,183.408,183.379,183.393,564.8399999999999
30.03.2026 10:30:00.000 UTC,183.392,183.413,183.363,183.396,649.6800000000001
30.03.2026 10:35:00.000 UTC,183.397,183.413,183.354,183.379,617.61
30.03.2026 10:40:00.000 UTC,183.379,183.415,183.37,183.397,503.76000000000005
30.03.2026 10:45:00.000 UTC,183.397,183.423,183.382,183.407,660.9
30.03.2026 10:50:00.000 UTC,183.408,183.431,183.399,183.399,703.41
30.03.2026 10:55:00.000 UTC,183.398,183.4,183.327,183.375,551.6899999999999
30.03.2026 11:00:00.000 UTC,183.375,183.384,183.311,183.313,827.73
30.03.2026 11:05:00.000 UTC,183.32,183.346,183.279,183.301,990.2
30.03.2026 11:10:00.000 UTC,183.304,183.345,183.283,183.338,644.82
30.03.2026 11:15:00.000 UTC,183.335,183.339,183.287,183.297,1060.11
30.03.2026 11:20:00.000 UTC,183.297,183.324,183.28,183.324,1132.1100000000001
30.03.2026 11:25:00.000 UTC,183.324,183.363,183.277,183.303,2921.6800000000003
30.03.2026 11:30:00.000 UTC,183.302,183.313,183.256,183.269,3070.3999999999996
30.03.2026 11:35:00.000 UTC,183.268,183.292,183.212,183.237,1738.7999999999997
30.03.2026 11:40:00.000 UTC,183.237,183.28,183.215,183.28,1372.4699999999998
30.03.2026 11:45:00.000 UTC,183.28,183.28,183.206,183.214,833.8499999999999
30.03.2026 11:50:00.000 UTC,183.214,183.249,183.212,183.243,1034.3700000000001
30.03.2026 11:55:00.000 UTC,183.244,183.274,183.183,183.199,742.14
30.03.2026 12:00:00.000 UTC,183.199,183.199,183.117,183.127,1042.14
30.03.2026 12:05:00.000 UTC,183.128,183.155,183.102,183.107,1327.65
30.03.2026 12:10:00.000 UTC,183.107,183.107,183.009,183.029,1109.0600000000002
30.03.2026 12:15:00.000 UTC,183.031,183.141,183.017,183.136,1255.95
30.03.2026 12:20:00.000 UTC,183.135,183.155,183.094,183.098,1137.96
30.03.2026 12:25:00.000 UTC,183.101,183.149,183.096,183.108,1305.84
30.03.2026 12:30:00.000 UTC,183.107,183.121,183.037,183.09,1231.26
30.03.2026 12:35:00.000 UTC,183.091,183.159,183.091,183.146,1163.1000000000001
30.03.2026 12:40:00.000 UTC,183.146,183.155,183.069,183.085,987.5999999999999
30.03.2026 12:45:00.000 UTC,183.086,183.157,183.043,183.134,1369.02
30.03.2026 12:50:00.000 UTC,183.132,183.132,183.081,183.099,1185.4199999999998
30.03.2026 12:55:00.000 UTC,183.097,183.097,182.978,182.997,1575.57
30.03.2026 13:00:00.000 UTC,182.998,183.042,182.987,182.999,1844.13
30.03.2026 13:05:00.000 UTC,183,183.018,182.985,183,1069.98
30.03.2026 13:10:00.000 UTC,182.999,183.064,182.997,183.046,983.97
30.03.2026 13:15:00.000 UTC,183.047,183.075,183.014,183.044,1045.89
30.03.2026 13:20:00.000 UTC,183.044,183.044,182.978,182.979,805.74
30.03.2026 13:25:00.000 UTC,182.979,182.981,182.896,182.916,804.3
30.03.2026 13:30:00.000 UTC,182.916,182.947,182.901,182.932,1696.14
30.03.2026 13:35:00.000 UTC,182.933,182.995,182.905,182.98,1470.12
30.03.2026 13:40:00.000 UTC,182.98,182.98,182.908,182.914,1596.96
30.03.2026 13:45:00.000 UTC,182.915,182.929,182.893,182.904,1490.6099999999997
30.03.2026 13:50:00.000 UTC,182.907,182.936,182.83,182.837,1194.3
30.03.2026 13:55:00.000 UTC,182.837,182.91,182.837,182.879,1774.17
30.03.2026 14:00:00.000 UTC,182.878,182.957,182.878,182.93,1613.58
30.03.2026 14:05:00.000 UTC,182.934,182.941,182.855,182.878,1634.2199999999998
30.03.2026 14:10:00.000 UTC,182.878,182.909,182.858,182.87,1362.4199999999998
30.03.2026 14:15:00.000 UTC,182.872,182.894,182.84,182.842,1382.0500000000002
30.03.2026 14:20:00.000 UTC,182.842,182.854,182.794,182.846,1288.92
30.03.2026 14:25:00.000 UTC,182.845,182.858,182.821,182.831,1176.54
30.03.2026 14:30:00.000 UTC,182.832,182.927,182.832,182.916,1293.06
30.03.2026 14:35:00.000 UTC,182.918,182.929,182.878,182.909,1181.25
30.03.2026 14:40:00.000 UTC,182.908,182.915,182.876,182.888,1000.23
30.03.2026 14:45:00.000 UTC,182.887,182.975,182.886,182.907,2167.69
30.03.2026 14:50:00.000 UTC,182.909,182.938,182.891,182.937,1837.1399999999999
30.03.2026 14:55:00.000 UTC,182.936,182.951,182.876,182.902,1790.76
30.03.2026 15:00:00.000 UTC,182.905,182.926,182.838,182.878,2014.28
30.03.2026 15:05:00.000 UTC,182.881,182.888,182.782,182.796,1308.51
30.03.2026 15:10:00.000 UTC,182.8,182.819,182.705,182.705,1444.1100000000001
30.03.2026 15:15:00.000 UTC,182.706,182.785,182.659,182.777,1496.6499999999999
30.03.2026 15:20:00.000 UTC,182.779,182.783,182.71,182.768,1134.87
30.03.2026 15:25:00.000 UTC,182.773,182.775,182.695,182.714,1220.19
