UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,1.91352,1.91428,1.91305,1.91307,1611.81
01.04.2026 00:05:00.000 UTC,1.91307,1.91332,1.9128,1.91316,1018.3299999999999
01.04.2026 00:10:00.000 UTC,1.91313,1.91332,1.91259,1.91275,834.3700000000001
01.04.2026 00:15:00.000 UTC,1.91274,1.91367,1.91262,1.91326,1302.37
01.04.2026 00:20:00.000 UTC,1.91328,1.9141,1.91325,1.91365,621.4499999999999
01.04.2026 00:25:00.000 UTC,1.91364,1.9137,1.91319,1.91319,690.1499999999999
01.04.2026 00:30:00.000 UTC,1.91319,1.91326,1.91277,1.91303,730.35
01.04.2026 00:35:00.000 UTC,1.91304,1.91365,1.91297,1.9133,704.61
01.04.2026 00:40:00.000 UTC,1.91326,1.91338,1.91251,1.91257,614.7
01.04.2026 00:45:00.000 UTC,1.91259,1.91308,1.91176,1.91225,964.25
01.04.2026 00:50:00.000 UTC,1.91227,1.91237,1.9118,1.91237,810.6
01.04.2026 00:55:00.000 UTC,1.91235,1.91251,1.91188,1.91201,577.3499999999999
01.04.2026 01:00:00.000 UTC,1.91203,1.91264,1.91174,1.91233,1913.98
01.04.2026 01:05:00.000 UTC,1.91232,1.91288,1.91194,1.9122,1458.0000000000002
01.04.2026 01:10:00.000 UTC,1.9122,1.9123,1.91081,1.91081,924.45
01.04.2026 01:15:00.000 UTC,1.91089,1.91178,1.91084,1.91149,1001.3999999999999
01.04.2026 01:20:00.000 UTC,1.91149,1.9115,1.91066,1.91093,1010.77
01.04.2026 01:25:00.000 UTC,1.91092,1.91133,1.91049,1.91073,989.55
01.04.2026 01:30:00.000 UTC,1.91072,1.91219,1.91065,1.91214,1028.69
01.04.2026 01:35:00.000 UTC,1.91212,1.91277,1.91163,1.91165,1281.45
01.04.2026 01:40:00.000 UTC,1.91166,1.91228,1.91138,1.91201,868.8000000000001
01.04.2026 01:45:00.000 UTC,1.91201,1.91378,1.91189,1.91367,790.26
01.04.2026 01:50:00.000 UTC,1.91366,1.91385,1.91335,1.91359,784.95
01.04.2026 01:55:00.000 UTC,1.91358,1.91386,1.91317,1.91339,712.42
01.04.2026 02:00:00.000 UTC,1.91341,1.91374,1.91323,1.91342,836.4
01.04.2026 02:05:00.000 UTC,1.91343,1.91353,1.91302,1.9134,555.45
01.04.2026 02:10:00.000 UTC,1.91335,1.91385,1.91329,1.91356,536.8499999999999
01.04.2026 02:15:00.000 UTC,1.91358,1.91371,1.91338,1.91357,347.55
01.04.2026 02:20:00.000 UTC,1.91359,1.91421,1.91359,1.9138,390.3
01.04.2026 02:25:00.000 UTC,1.91379,1.91421,1.91341,1.91371,580.95
01.04.2026 02:30:00.000 UTC,1.91371,1.91406,1.91359,1.91398,771.9
01.04.2026 02:35:00.000 UTC,1.9139,1.91417,1.91368,1.91406,603.4499999999999
