UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,1.15737,1.15737,1.15692,1.15732,826.33
01.04.2026 00:05:00.000 UTC,1.15733,1.15743,1.15723,1.15727,396.45000000000005
01.04.2026 00:10:00.000 UTC,1.15726,1.15737,1.15712,1.15735,367.59
01.04.2026 00:15:00.000 UTC,1.15736,1.15787,1.15733,1.15771,804.15
01.04.2026 00:20:00.000 UTC,1.15773,1.15779,1.15752,1.15762,395.5
01.04.2026 00:25:00.000 UTC,1.15761,1.15767,1.15741,1.15765,378.85
01.04.2026 00:30:00.000 UTC,1.15765,1.15776,1.15755,1.15763,426.5
01.04.2026 00:35:00.000 UTC,1.15762,1.15767,1.15746,1.15765,27
01.04.2026 00:40:00.000 UTC,1.15767,1.15776,1.15761,1.15761,284.8
01.04.2026 00:45:00.000 UTC,1.15763,1.15764,1.15723,1.15724,346
01.04.2026 00:50:00.000 UTC,1.15726,1.15744,1.1571,1.15743,488.65000000000003
01.04.2026 00:55:00.000 UTC,1.15745,1.15753,1.1572,1.15743,387.34000000000003
01.04.2026 01:00:00.000 UTC,1.15747,1.15756,1.15621,1.15622,1228.88
01.04.2026 01:05:00.000 UTC,1.15618,1.15633,1.15567,1.15627,850.0899999999999
01.04.2026 01:10:00.000 UTC,1.15627,1.15653,1.15616,1.15653,672.6499999999999
01.04.2026 01:15:00.000 UTC,1.15652,1.15654,1.1561,1.15612,802.54
01.04.2026 01:20:00.000 UTC,1.15614,1.15634,1.15576,1.15584,622.49
01.04.2026 01:25:00.000 UTC,1.15586,1.1564,1.15586,1.15637,514.6
01.04.2026 01:30:00.000 UTC,1.15635,1.15653,1.15602,1.15604,618.75
01.04.2026 01:35:00.000 UTC,1.15607,1.15609,1.15563,1.15572,582.6
01.04.2026 01:40:00.000 UTC,1.15573,1.15573,1.15549,1.15567,459.76
01.04.2026 01:45:00.000 UTC,1.15566,1.15585,1.15547,1.15569,270.18
01.04.2026 01:50:00.000 UTC,1.1557,1.15611,1.15562,1.15607,357.25
01.04.2026 01:55:00.000 UTC,1.15608,1.15619,1.15601,1.15617,339.12
01.04.2026 02:00:00.000 UTC,1.15618,1.15649,1.15605,1.15646,400.49
01.04.2026 02:05:00.000 UTC,1.15647,1.15663,1.15647,1.15656,250.2
01.04.2026 02:10:00.000 UTC,1.15657,1.1566,1.15638,1.15649,190.79999999999998
01.04.2026 02:15:00.000 UTC,1.15649,1.15663,1.15648,1.15659,212.39999999999998
01.04.2026 02:20:00.000 UTC,1.15659,1.15667,1.15646,1.15664,180.45
01.04.2026 02:25:00.000 UTC,1.15666,1.15666,1.15646,1.15648,252
01.04.2026 02:30:00.000 UTC,1.15649,1.15655,1.15631,1.15643,328.31000000000006
01.04.2026 02:35:00.000 UTC,1.15644,1.15656,1.15627,1.15642,306.74
01.04.2026 02:40:00.000 UTC,1.15642,1.15672,1.15627,1.15663,347.75
01.04.2026 02:45:00.000 UTC,1.15663,1.15684,1.15662,1.15675,166.05
01.04.2026 02:50:00.000 UTC,1.15676,1.15703,1.15676,1.15697,188.5
01.04.2026 02:55:00.000 UTC,1.15698,1.15709,1.15683,1.15687,301.5
01.04.2026 03:00:00.000 UTC,1.15685,1.15685,1.15648,1.15654,381.89
01.04.2026 03:05:00.000 UTC,1.15653,1.15666,1.15645,1.15663,273.1
01.04.2026 03:10:00.000 UTC,1.15663,1.15679,1.15661,1.1567,215.04
01.04.2026 03:15:00.000 UTC,1.15671,1.15679,1.15647,1.15674,273.65999999999997
