Alert ID,Ticker,Name,Description,Time,Webhook status
4342280400,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURAUD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.67943,""sl"":1.66745,""c_level"":1.67583,""rr"":""0.43:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T11:00:00Z,Webhook delivery failed — request took too long and timed out
4342280400,"TVC:GOLD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GOLD"",""meta"":{""pattern"":""bearish"",""c_level"":4635.350,""active"":true}}",2026-04-02T11:00:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"TVC:GOLD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GOLD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T11:00:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURAUD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.67370,""sl"":1.68645,""c_level"":1.67806,""rr"":""0.52:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T11:00:00Z,Webhook successfully delivered
4367431783,"ICMARKETS:GBPAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPAUD"",""meta"":{""pattern"":""bearish"",""c_level"":0,""active"":false}}",2026-04-02T10:56:00Z,Webhook successfully delivered
4342280400,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURAUD"",""meta"":{""pattern"":""bearish"",""c_level"":0,""active"":false}}",2026-04-02T10:55:00Z,Webhook delivery failed — request took too long and timed out
4342280400,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURAUD"",""meta"":{""pattern"":""bullish"",""c_level"":1.67583,""active"":true}}",2026-04-02T10:55:00Z,Webhook delivery failed — request took too long and timed out
4342281026,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURAUD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:55:00Z,Webhook delivery failed — request took too long and timed out
4342281026,"TICKMILL:EURAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURAUD"",""meta"":{""pattern"":""bearish"",""c_level"":1.67806,""active"":true}}",2026-04-02T10:55:00Z,Webhook delivery failed — request took too long and timed out
4342280400,"FPMARKETS:GBPAUD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPAUD"",""meta"":{""pattern"":""bearish"",""c_level"":0,""active"":false}}",2026-04-02T10:55:00Z,Webhook delivery failed — request took too long and timed out
